run_id,method,student_accuracy,seed,notes
resource_adapted_smoke-s42-20260812T085502Z,B0-Base,0.0,42,pipeline_validation_only; offline GSM8K reference reasoning used as clean trace proxy; intended 7B teacher and 1.5B student were not run
resource_adapted_smoke-s42-20260812T085502Z,B1-Clean-KD,0.25,42,pipeline_validation_only; offline GSM8K reference reasoning used as clean trace proxy; intended 7B teacher and 1.5B student were not run
